registration_number,name,start_date,legal_status,legal_category,number_of_establishments,employee_category_formatted,zipcode,street,house_number,city,province,nace,nace_label,website,facebook_page,google_my_business_url,declared_turnover,paidup_capital,staff_expenses
BE:479223847,DEMOCO GROUP,2002-12-19,014 - Public limited company,For Profit,1,20 to 49 employees,3500,Herkenrodesingel,4B,HASSELT,Limburg,64200,Activities of holding companies,https://democogroup.com/,https://www.facebook.com/DemocoBouwbedrijf/,https://www.google.be/search?q=DEMOCO%20GROUP%20Hasselt,13499538,12500000,2613660
BE:838557377,MURCO NV,2011-07-20,014 - Public limited company,For Profit,1,10 to 19 employees,3520,Senator A. Jeurissenlaan,1210,ZONHOVEN,Limburg,64200,Activities of holding companies,,,,1906360,2277944,1098447
BE:777585256,PF HOLDING,2021-11-22,610 - Private limited company,For Profit,1,No employee category available,3583,Buntjesstraat,13,BERINGEN,Limburg,64200,Activities of holding companies,,,,,,
BE:681964735,REJUVENATE BIOMED,2017-10-02,014 - Public limited company,For Profit,2,1 to 4 employees,3550,Vrunstraat,153,HEUSDEN-ZOLDER,Limburg,72110,Research and experimental development on biotechnology,https://www.rejuvenatebiomed.com/,,,0,15886845,306619
BE:840501634,LIVING TOMORROW,2011-10-19,014 - Public limited company,For Profit,1,10 to 19 employees,1800,Indringingsweg,1A,VILVOORDE,Vlaams Brabant,82300,Organisation of conventions and trade shows,https://www.livingtomorrow.com/nl,https://www.facebook.com/LivingTomorrowGroup/?rf=855635718110955,https://www.google.be/search?q=Living%20Tomorrow%20Vilvoorde,0,2017600,603214
BE:404816038,BEYERS' KOFFIE,1957-03-23,014 - Public limited company,For Profit,1,100 to 199 employees,2870,Koning Leopoldlaan,3,PUURS-SINT-AMANDS,Antwerpen,10830,Processing of tea and coffee,https://www.beyers.eu/en/contact,https://www.facebook.com/pages/Beyers-Koffie/151994328194884,https://www.google.be/search?q=Beyers%27%20Koffie%20Puurs-Sint-Amands,84211233,4102000,8813264
BE:697657454,ODETTE CONSULT BEDRIJFSREVISOR,2018-06-05,012 - Ordinary limited partnership,For Profit,0,0 employee,1840,Pikstraat,71,LONDERZEEL,Vlaams Brabant,70210,Public relations and communication activities,http://www.companyweb.be/,https://www.facebook.com/odette.hermans,,,,
BE:471854223,KRATON POLYMERS BELGIUM,2000-05-10,610 - Private limited company,For Profit,1,10 to 19 employees,1348,Chemin du Cyclotron,6,OTTIGNIES-LOUVAIN-LA-NEUVE,Brabant Wallon,46751,Wholesale trade of industrial chemical products,https://www.elium.com/contact-us/,,,3470087,,3130257
BE:414130513,VYGON,1974-05-02,014 - Public limited company,For Profit,1,20 to 49 employees,1130,Chaussée de Haecht,1650,BRUXELLES,Bruxelles-Brussel,46460,Wholesale trade of pharmaceutical goods,https://www.vygon.be/nl/,,https://www.google.be/search?q=VYGON%20Bruxelles,0,248000,1767440
BE:431088289,BDO BEDRIJFSREVISOREN-BDO  REVISEURS D'ENTREPRISES,1987-05-15,610 - Private limited company,For Profit,9,100 to 199 employees,1930,Da Vincilaan,9/E.6,ZAVENTEM,Vlaams Brabant,29201,Fabrication de carrosseries de véhicules automobiles,http://www.bdo.be/,https://www.facebook.com/pages/BDO-Hasselt/336376539886358,,27769296,,7383788
